0,1,2,3,4,5,6,7,8,9
2018-19,,Sun Dec 16,Stampede,1,Benders,6,,,https://www.dmyha.com/game/show/22772835?subseason=545898
2018-19,,Sun Dec 16,Voodoo,2,Bandits,2,,,https://www.dmyha.com/game/show/22772837?subseason=545898
2018-19,,Sun Jan  6,Goldfish,1,Voodoo,1,,,https://www.dmyha.com/game/show/22772841?subseason=545898
2018-19,,Sun Jan  6,Vicious Squirrels,2,Benders,6,,,https://www.dmyha.com/game/show/22772843?subseason=545898
2018-19,,Sun Jan  6,Jesters,2,Wolverines,0,,,https://www.dmyha.com/game/show/22772844?subseason=545898
2018-19,,Sun Jan  6,Bandits,3,Moose,7,,,https://www.dmyha.com/game/show/22772846?subseason=545898
2018-19,,Sun Jan  6,Knights,2,Wild Goose,2,,,https://www.dmyha.com/game/show/22772849?subseason=545898
2018-19,,Sun Jan  6,Stampede,6,Iowinds,3,,,https://www.dmyha.com/game/show/22772851?subseason=545898
2018-19,,Sun Jan 13,Goldfish,3,Moose,2,,,https://www.dmyha.com/game/show/22772854?subseason=545898
2018-19,,Sun Jan 13,Voodoo,2,Wild Goose,1,,,https://www.dmyha.com/game/show/22772856?subseason=545898
2018-19,,Sun Jan 13,Wolverines,2,Stampede,5,,,https://www.dmyha.com/game/show/22772858?subseason=545898
2018-19,,Sun Jan 13,Bandits,0,Knights,5,,,https://www.dmyha.com/game/show/22772859?subseason=545898
2018-19,,Sun Jan 13,Jesters,5,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772860?subseason=545898
2018-19,,Sun Jan 13,Iowinds,7,Benders,4,,,https://www.dmyha.com/game/show/22772862?subseason=545898
2018-19,,Sun Jan 20,Benders,3,Wolverines,2,,,https://www.dmyha.com/game/show/22772863?subseason=545898
2018-19,,Sun Jan 20,Bandits,2,Wild Goose,4,,,https://www.dmyha.com/game/show/22772864?subseason=545898
2018-19,,Sun Jan 20,Vicious Squirrels,4,Iowinds,7,,,https://www.dmyha.com/game/show/22772867?subseason=545898
2018-19,,Sun Jan 20,Knights,3,Goldfish,0,,,https://www.dmyha.com/game/show/22772869?subseason=545898
2018-19,,Sun Jan 20,Stampede,2,Jesters,2,,,https://www.dmyha.com/game/show/22772871?subseason=545898
2018-19,,Sun Jan 20,Moose,5,Voodoo,2,,,https://www.dmyha.com/game/show/22772872?subseason=545898
2018-19,,Sun Jan 27,Wild Goose,5,Moose,0,,,https://www.dmyha.com/game/show/22772877?subseason=545898
2018-19,,Sun Jan 27,Voodoo,2,Knights,2,,,https://www.dmyha.com/game/show/22772878?subseason=545898
2018-19,,Sun Jan 27,Goldfish,5,Bandits,4,,,https://www.dmyha.com/game/show/22772880?subseason=545898
